address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime,ponzi
0xe861ad00aed0f04b41c675ec1c1493d2ebcbe776,493,18,2.92E+21,5.47E+20,5.91E+18,3.04E+19,4.60E+19,8.99E+19,0.804542162,0.793849751,63822.13112,32613109,1
0x0ec3cd77dbc5b512b5f9e45578813e1dbbcda719,31,15,3.29E+19,3.38E+19,1.06E+18,2.25E+18,2.34E+18,7.43E+18,0.822072092,0.895364942,851413.1087,39165003,1
0x1ff3f56609d0771abb49566600febade0e708beb,108,66,8.17E+19,7.91E+19,7.57E+17,1.20E+18,8.96E+17,1.60E+18,0.57861652,0.555614537,261951.2126,45579511,1
0x9d5bdaa9d82782c03402dd5c675ae3e45b3102e2,16,26,8.71E+19,1.36E+20,5.44E+18,5.24E+18,4.56E+18,8.64E+18,0.423005166,0.677002146,6803.666667,285754,1
0xadd6f226b34957a8f59a5be195560b96323c74c7,1,1197,9.00E+17,8.74E+19,9.00E+17,7.30E+16,0,9.21E+16,0,0.508946732,827.5943239,991458,1
0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51,3,1,2.70E+19,1.50E+16,9.00E+18,1.50E+16,0,0,0,0,160306.25,641225,1
0x5eabae401202b9ed9e5dfbbe2d67860361eb0a9d,2,27,4.00E+16,1.35E+20,2.00E+16,5.00E+18,1.00E+16,4.47E+18,0.25,0.444444444,212436.8621,6160669,1
0xc305b6401643b63dd9d74040bb16bb5c8bbbaa88,15,4,1.35E+20,4.29E+17,9.00E+18,1.07E+17,0,3.81E+16,0,0.196148106,496638.0526,9436123,1
0xf45717552f12ef7cb65e95476f217ea008167ae3,37,2,1.90E+20,2.02E+16,5.14E+18,1.01E+16,4.16E+18,5.00E+14,0.443497574,0.024752475,77449.4359,3020528,1
0xa864694cacdf27900afb3c32b1b07aea3c465dde,2,213,4.00E+16,4.01E+19,2.00E+16,1.88E+17,1.00E+16,1.36E+18,0.25,0.653251117,15976.49767,3434947,1
0xa0285193e366a634fd9639d650b2115d77681a37,16,2,1.27E+20,2.00E+18,7.95E+18,1.00E+18,6.62E+18,9.80E+17,0.409946131,0.49,71810.27778,1292585,1
0x3325439082ff8ba7371dfdaa1af297bbfcac21b2,14,8,5.37E+19,1.79E+19,3.83E+18,2.23E+18,1.28E+19,1.73E+18,0.894979904,0.432218802,43556.36364,958240,1
0x21905ebd9e1f9587c7b3685d424679f16cccbb58,22,36,2.32E+19,1.11E+20,1.05E+18,3.08E+18,4.84E+17,4.77E+18,0.123432602,0.70207677,70866.68966,4110268,1
0xc1824278b767d9efb304c63128b1a92babc3fa4b,618,100,4.36E+21,8.68E+19,7.06E+18,8.68E+17,3.84E+18,1.32E+18,0.277879942,0.672717557,87069.5571,62515942,1
0xca7c390f8f843a8c3036841fde755e5d0acb97da,7,4,2.80E+19,1.01E+19,4.00E+18,2.53E+18,3.12E+18,1.26E+18,0.367128319,0.215346535,4049513.273,44544646,1
0x49f053b866c33185fa1151e71fc80d5fe6b08a92,4,5,7.00E+18,6.00E+18,1.75E+18,1.20E+18,8.29E+17,0,0.25,0,42863.22222,385769,1
