address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime
0xc352add7ad8cac8baa839d8c88e7e9d7df9a219b,25,1,7.62e+17,1.0685332805236621e+18,3.048e+16,1.0685332805236621e+18,3.233465014500698e+16,0.0,0.4978477690288714,0.0,1054197.576923077,27409137.0
0x4162178b78d6985480a308b2190ee5517460406d,1963,6,7.702051015625e+20,1.002e+18,3.923612336029037e+17,1.67e+17,8.116570006058107e+17,7.379024325749307e+16,0.7564090460598746,0.16467065868263472,18369.71406805485,36169967.0
0x0c495b4716462d89c564ba79e7de477b543e0e30,85,3,1.09866e+20,2.72e+17,1.2925411764705882e+18,9.066666666666667e+16,2.9783967323651354e+18,6.614420273580713e+16,0.8204015372737485,0.3786764705882353,619822.8863636364,54544414.0
0x1d1811189e2a8dd8d5f22cdc164273bf3d6fdd43,2332,18,1.5031776685432596e+20,1.849479166666667e+17,6.445873364250685e+16,1.027488425925926e+16,2.6502361686023462e+17,1.5744812959979918e+16,0.93859652461616,0.7115163455955721,20353.684680851064,47831159.0
0xfd0174784ebce943bdb8832ecdea9fea30e7c7a9,537,726,6.800936286078516e+19,2.1848488286805297e+18,1.2664685821375262e+17,3009433648320289.0,3.7486472228126765e+17,1.3408586658448768e+16,0.7719989924417381,0.8730457312591619,32138.749010292955,40591240.0
0x66656bff674879b76ccd561f61fc716e54aa6668,50,4,2.975e+17,2.5e+18,5950000000000000.0,6.25e+17,9530230847151604.0,3.477606935810889e+17,0.7336134453781512,0.295,447776.6296296296,24179938.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,133,7,4.224790181e+19,2.533e+17,3.176533970676692e+17,3.618571428571429e+16,1.4580550415381425e+18,2.982220785979222e+16,0.8663214937159981,0.45750380689188425,232471.9642857143,32546075.0
0x79a0bf1ed1ef168d78993fec93e6ad786064a7ed,82,33,1.1482e+20,4.168259748460635e+18,1.4002439024390244e+18,1.263109014685041e+17,5.505613537864466e+18,3.934932917480245e+17,0.7359345061835917,0.8666400298740097,325855.0,37473325.0
0x9b45b116b68c388e49610c9be585dbee201467a7,80,102,8.4435e+18,2.0215419921875e+18,1.0554375e+17,1.9819039139093136e+16,6.822866854143865e+16,2.328710396367351e+16,0.32312355658198616,0.5411258847419986,108930.11538461539,19825281.0
0x508404d6f5342b4a11a08e8be3f9bb2ddbdc189f,9,120,5.9e+16,1.6571591506646113e+20,6555555555555556.0,1.380965958887176e+18,4139541335599368.5,3.6481122503651763e+18,0.3314500941619586,0.8397003009133864,256467.00775193798,33084244.0
0x13793e8c72f81999fdc89f2731c9a4c895aac2de,2995,2,1.1165102545022194e+21,1.09e+17,3.727914038404739e+17,5.45e+16,5.285708826486148e+17,1.75e+16,0.5922523951187861,0.16055045871559634,8186.386720053387,24534601.0
